patch_id,objective,files_changed,status,verification_note
001,Project structure & config & database,requirements.txt;app/__init__.py;app/config.py;app/modules/__init__.py;app/routes/__init__.py,done,DB init OK
002,Backend modules (loader/splitter/embedding/vectorstore/rag_chain/evaluator),app/modules/document_loader.py;app/modules/text_splitter.py;app/modules/embedding.py;app/modules/vectorstore.py;app/modules/rag_chain.py;app/modules/evaluator.py,done,All imports verified OK
003,API routes (upload/process_rag/ask/documents/settings),app/routes/upload.py;app/routes/process_rag.py;app/routes/ask.py;app/routes/documents.py;app/routes/settings.py,done,All endpoints return 200
004,Main entry point,app/main.py,done,Server starts without error
005,UI templates & CSS (solid color + Bootstrap Icons),templates/base.html;templates/chat.html;templates/upload.html;templates/documents.html;templates/settings.html;static/style.css,done,All pages load 200
006,Fix langchain imports for v1.2.x compatibility,app/modules/document_loader.py;app/modules/text_splitter.py;app/modules/vectorstore.py;app/modules/rag_chain.py;app/routes/ask.py,done,Switched to langchain_core + LCEL chain
007,Fix delete dokumen agar hapus chunks RAG dari ChromaDB,app/modules/vectorstore.py;app/routes/documents.py,done,Verified: chromadb native client deletes chunks by document_id. Chatbot confirmed cannot answer after delete. Error no longer silenced.
008,Perbaiki system prompt agar natural untuk konteks PMB,app/modules/rag_chain.py;../landing_page/widget.js,done,Verified runtime: sapaan natural sebagai Tanya PMB. Tidak lagi bilang 'berdasarkan dokumen'. Widget greeting juga diupdate.
009,Rewrite README untuk target mahasiswa IT pemula,../README.md;../landing_page/requirements.txt,done,Tambah: install Python guide + terminal guide + API key step-by-step + kustomisasi section + troubleshooting lengkap + tech stack table + fix struktur folder
010,Fix Settings API Key UX: validasi + loading state + toggle show/hide,app/routes/settings.py;templates/settings.html,done,Verified: key pendek 400 rejected. Key invalid 400 rejected. Loading state disable tombol saat request. Toggle eye icon show/hide key.
011,Tambah halaman System Prompt UI agar user bisa edit prompt tanpa coding,app/routes/system_prompt.py;templates/system_prompt.html;app/modules/rag_chain.py;templates/base.html;app/main.py,done,Verified: GET/POST/reset API semua 200. Validasi placeholder 400. Page load 200. Prompt dibaca dari DB dengan fallback ke default.
012,Conversation memory per session — chatbot ingat konteks percakapan tiap user terisolasi,app/modules/conversation.py;app/modules/rag_chain.py;app/routes/ask.py;app/routes/public_api.py;templates/chat.html;../landing_page/widget.js,done,Verified: follow-up Q2 dijawab dengan konteks Q1 (session A). Session B tidak punya konteks A (terisolasi). Tanpa session_id tetap jalan (backward compatible). Session TTL 30 menit + max 20 messages.
013,Update dokumentasi embed.html: session_id + contoh integrasi Laravel/JS/Python,templates/embed.html,done,Verified: page load 200. Docs mencakup tabel parameter (message + session_id). Contoh kode Laravel + JS Fetch + Python Requests. URL dinamis terisi otomatis.
014,Lengkapi API docs best practice: HTTP status codes + error responses + batasan,templates/embed.html,done,Verified: page load 200. Tabel status codes (200/400/500/503) + contoh error JSON + tabel batasan (session TTL 30m + max 20 pesan + rate limit + auth info).
